SKU编号,产品名称,平台,产品链接,售价(RMB),成本价,重量(g),物流费,平台佣金%,利润,利润率%,月销量预估,月利润预估,竞品数量,竞争度,趋势判断,样品状态,供应商,备注
LJ-001,激光雕刻情侣手链-光面,TikTok Shop,https://example.com/lj-001,30,6.5,25,8,6%,13.7,45.7%,150,2055,58,高,上升,已确认,广州鸿盛饰品,主打款
LJ-002,激光雕刻情侣手链-磨砂,TikTok Shop,https://example.com/lj-002,35,7.5,28,8,6%,16.2,46.3%,120,1944,42,中,上升,已确认,深圳激光工坊,次推款
LJ-003,不锈钢简约手链-扁形,TikTok Shop,https://example.com/lj-003,28,5.5,22,8,6%,11.7,41.8%,200,2340,65,高,平稳,待采购,义乌饰品批发,待测试
LJ-004,钛钢情侣手链-镂空,Shopee,https://example.com/lj-004,45,10,35,10,8%,28.4,63.1%,80,2272,28,低,上升,已确认,广州钛钢制品,利润高
LJ-005,激光刻字手镯-开口,Shopee,https://example.com/lj-005,52,12,40,10,8%,33.8,65.0%,60,2028,35,中,上升,待采购,-,待开发
LJ-006,情侣项链-激光刻字,TikTok Shop,https://example.com/lj-006,38,8,30,9,6%,18.3,48.2%,100,1830,48,中,平稳,已确认,广州鸿盛饰品,可搭配销售
LJ-007,定制姓名手链,Lazada,https://example.com/lj-007,58,15,32,10,7%,37.1,64.0%,40,1484,22,低,上升,样品中,-,高客单价
LJ-008,激光雕刻对戒-素圈,TikTok Shop,https://example.com/lj-008,42,9,28,9,6%,21.5,51.2%,90,1935,55,高,平稳,待采购,-,可做情侣款
LJ-009,时尚手链-多层缠绕,Shopee,https://example.com/lj-009,36,7,20,8,8%,22.2,61.7%,110,2442,38,中,上升,已确认,义乌时尚饰品,爆款潜力
LJ-010,激光刻字吊坠项链,TikTok Shop,https://example.com/lj-010,33,6.5,18,7,6%,17.0,51.5%,130,2210,45,中,上升,已确认,广州鸿盛饰品,出单稳定
