日期,SKU编号,产品名称,销售额(RMB),订单数,转化率%,广告花费,利润,库存数量,排名变化,备注
2026-04-01,LJ-001,激光雕刻情侣手链-光面,780,26,8.5%,50,178,45,+3,周末小高峰
2026-04-02,LJ-001,激光雕刻情侣手链-光面,630,21,7.2%,45,145,42,-1,工作日正常
2026-04-03,LJ-001,激光雕刻情侣手链-光面,900,30,9.1%,60,195,50,+5,视频爆了
2026-04-04,LJ-001,激光雕刻情侣手链-光面,840,28,8.8%,55,182,48,+2,持续出单
2026-04-05,LJ-001,激光雕刻情侣手链-光面,750,25,8.3%,48,162,46,0,稳定
2026-04-06,LJ-002,激光雕刻情侣手链-磨砂,420,14,6.5%,35,98,30,+10,新上架推广
2026-04-07,LJ-002,激光雕刻情侣手链-磨砂,540,18,7.2%,40,126,35,+5,开始出单
2026-04-08,LJ-006,激光刻字手镯-开口,510,17,7.8%,38,120,28,-2,被跟卖
2026-04-09,LJ-009,时尚手链-多层缠绕,660,22,8.1%,42,156,38,+8,款式新颖
2026-04-10,LJ-010,激光刻字吊坠项链,450,15,7.5%,36,106,32,0,稳定出单
