日期,SKU编号,产品名称,销售额_元,订单数,转化率_百分比,广告花费_元,广告ROI,利润_元,库存数量,排名,排名变化,好评数,差评数,备注
2026-04-01,LJ-001,激光雕刻情侣手链-光面,780,26,8.5%,50,15.6,178,50,1285,3,0,2,0,周末小高峰
2026-04-02,LJ-001,激光雕刻情侣手链-光面,630,21,7.2%,45,14.0,145,48,1284,-1,0,1,0,工作日正常
2026-04-03,LJ-001,激光雕刻情侣手链-光面,900,30,9.1%,60,15.0,195,45,1282,5,0,0,0,视频爆了
2026-04-04,LJ-001,激光雕刻情侣手链-光面,840,28,8.8%,55,15.3,182,42,1280,2,0,1,0,持续出单
2026-04-05,LJ-001,激光雕刻情侣手链-光面,750,25,8.3%,48,15.6,162,40,1279,0,0,0,0,稳定
2026-04-06,LJ-002,激光雕刻情侣手链-磨砂,420,14,6.5%,35,12.0,98,30,5890,10,0,0,0,新上架推广
2026-04-07,LJ-002,激光雕刻情侣手链-磨砂,540,18,7.2%,40,13.5,126,35,5885,5,0,1,0,开始出单
2026-04-08,LJ-006,激光刻字手镯-开口,510,17,7.8%,38,13.4,120,28,3420,-2,0,0,0,被跟卖
2026-04-09,LJ-009,时尚手链-多层缠绕,660,22,8.1%,42,15.7,156,38,2156,8,0,2,0,款式新颖
2026-04-10,LJ-010,激光刻字吊坠项链,450,15,7.5%,36,12.5,106,32,1892,0,0,1,0,稳定出单
2026-04-11,LJ-001,激光雕刻情侣手链-光面,960,32,9.5%,65,14.8,210,38,1275,4,0,3,0,再次爆发
2026-04-12,LJ-001,激光雕刻情侣手链-光面,870,29,9.0%,58,15.0,192,35,1272,-3,0,2,0,流量回落
2026-04-13,LJ-009,时尚手链-多层缠绕,810,27,8.6%,48,16.9,186,36,2148,8,0,1,0,爆款确认
2026-04-14,LJ-004,钛钢情侣手链-镂空,540,18,7.5%,35,15.4,138,30,1567,3,0,0,0,利润款稳定
2026-04-15,LJ-002,激光雕刻情侣手链-磨砂,630,21,7.8%,42,15.0,148,32,5878,7,0,2,0,逐渐起量
